Local Date, Local Time, Day Type ID, Total Carriageway Flow, Total Flow vehicles less than 5.2m, Total Flow vehicles 5.21m - 6.6m, Total Flow vehicles 6.61m - 11.6m, Total Flow vehicles above 11.6m, Speed Value
01/01/2014,09:15:00,14,19,16,0,0,3,88.39
01/01/2014,09:30:00,14,26,24,1,1,0,88.39
01/01/2014,09:45:00,14,46,41,2,0,3,84.05
01/01/2014,10:00:00,14,36,34,1,1,0,84.05
01/01/2014,10:15:00,14,49,47,0,2,0,84.05
01/01/2014,10:30:00,14,51,50,0,1,0,86.86
01/01/2014,10:45:00,14,52,50,1,1,0,84.67
01/01/2014,11:00:00,14,76,69,1,2,4,79.57
01/01/2014,11:15:00,14,75,73,2,0,0,79.57
01/01/2014,11:30:00,14,91,84,2,2,3,79.57
01/01/2014,09:00:00,14,20,18,2,0,0,88.39
01/01/2014,08:45:00,14,19,18,1,0,0,88.39
01/01/2014,08:30:00,14,19,17,0,0,2,71.43
01/01/2014,08:15:00,14,12,8,2,1,1,71.43
01/01/2014,08:00:00,14,14,12,1,0,1,71.43
01/01/2014,07:45:00,14,6,5,0,1,0,71.43
01/01/2014,07:30:00,14,9,7,1,1,0,71.43
01/01/2014,07:15:00,14,6,5,0,1,0,71.43
01/01/2014,07:00:00,14,10,9,0,0,1,93.51
01/01/2014,06:45:00,14,7,7,0,0,0,93.51
01/01/2014,06:30:00,14,12,10,1,1,0,93.51
01/01/2014,06:15:00,14,3,2,0,1,0,86.4
01/01/2014,06:00:00,14,3,3,0,0,0,86.4
01/01/2014,05:45:00,14,5,4,0,0,1,88.29
01/01/2014,05:30:00,14,4,3,0,0,1,88.29
01/01/2014,05:15:00,14,2,1,1,0,0,85.57
01/01/2014,05:00:00,14,3,3,0,0,0,87.94
01/01/2014,04:45:00,14,6,5,0,1,0,89.17
01/01/2014,04:30:00,14,5,4,1,0,0,72.88
01/01/2014,04:15:00,14,3,3,0,0,0,72.88
01/01/2014,04:00:00,14,5,3,1,0,1,86.03
01/01/2014,03:45:00,14,10,8,1,1,0,86.03
01/01/2014,03:30:00,14,5,5,0,0,0,87.78
01/01/2014,03:15:00,14,10,9,1,0,0,91.5
01/01/2014,03:00:00,14,8,8,0,0,0,84.58
01/01/2014,02:45:00,14,7,7,0,0,0,88.29
01/01/2014,18:15:00,14,67,66,1,0,0,83.97
01/01/2014,18:30:00,14,46,45,0,1,0,81.09
01/01/2014,18:45:00,14,48,47,1,0,0,80.69
01/01/2014,19:00:00,14,51,46,1,1,3,78.11
01/01/2014,19:15:00,14,40,38,1,0,1,81.26
01/01/2014,19:30:00,14,44,39,0,1,4,86.21
01/01/2014,19:45:00,14,36,33,1,1,1,83.79
01/01/2014,20:00:00,14,38,36,0,1,1,82.84
01/01/2014,20:15:00,14,36,34,1,0,1,81.01
01/01/2014,20:30:00,14,46,42,1,1,2,85.75
01/01/2014,20:45:00,14,29,26,1,1,1,86.3
01/01/2014,21:00:00,14,25,23,1,1,0,90.67
01/01/2014,21:15:00,14,19,18,0,0,1,89.56
01/01/2014,21:30:00,14,31,30,1,0,0,83.7
01/01/2014,21:45:00,14,23,20,2,0,1,87.33
01/01/2014,22:00:00,14,19,15,1,0,3,78.95
01/01/2014,22:15:00,14,19,15,0,0,4,88
01/01/2014,22:30:00,14,12,10,0,0,2,86.96
01/01/2014,22:45:00,14,11,11,0,0,0,92.87
01/01/2014,23:00:00,14,9,7,1,0,1,85.75
01/01/2014,23:15:00,14,7,6,0,0,1,81.84
01/01/2014,23:30:00,14,8,7,0,0,1,80.37
01/01/2014,23:45:00,14,10,7,0,0,3,83.19
02/01/2014,00:00:00,7,7,6,1,0,0,81.09
02/01/2014,00:15:00,7,7,4,0,1,2,79.59
02/01/2014,00:30:00,7,9,9,0,0,0,79.1
02/01/2014,00:45:00,7,8,7,0,0,1,81.16
02/01/2014,01:00:00,7,5,3,1,0,1,88
02/01/2014,01:15:00,7,8,4,1,2,1,85.28
02/01/2014,01:30:00,7,3,2,0,1,0,84.41
02/01/2014,01:45:00,7,5,3,0,1,1,92.87
02/01/2014,02:00:00,7,4,4,0,0,0,88.58
01/01/2014,02:30:00,14,6,6,0,0,0,87.05
01/01/2014,02:15:00,14,14,13,1,0,0,83.53
01/01/2014,02:00:00,14,10,9,0,1,0,95.17
01/01/2014,01:45:00,14,8,6,0,2,0,86.3
01/01/2014,01:30:00,14,16,15,1,0,0,89.56
01/01/2014,01:15:00,14,11,11,0,0,0,89.17
01/01/2014,01:00:00,14,16,14,0,2,0,83.1
01/01/2014,00:45:00,14,18,17,0,1,0,88.29
01/01/2014,00:30:00,14,14,13,1,0,0,100.89
01/01/2014,00:15:00,14,7,7,0,0,0,98.06
01/01/2014,00:00:00,14,9,9,0,0,0,91.29
01/01/2014,11:45:00,14,108,99,4,2,3,85.84
01/01/2014,12:00:00,14,86,83,2,1,0,86.21
01/01/2014,12:15:00,14,86,81,1,2,2,84.94
01/01/2014,12:30:00,14,85,80,1,4,0,86.4
01/01/2014,12:45:00,14,80,80,0,0,0,82.51
01/01/2014,13:00:00,14,90,87,2,0,1,82.06
