Local Date, Local Time, Day Type ID, Total Carriageway Flow, Total Flow vehicles less than 5.2m, Total Flow vehicles 5.21m - 6.6m, Total Flow vehicles 6.61m - 11.6m, Total Flow vehicles above 11.6m, Speed Value
01/01/2014,00:00:00,14,17,16,1,0,0,101.24
01/01/2014,00:15:00,14,29,29,0,0,0,110.89
01/01/2014,00:30:00,14,61,60,0,0,1,113.57
01/01/2014,00:45:00,14,71,71,0,0,0,99.77
01/01/2014,01:00:00,14,76,72,2,1,1,106.47
01/01/2014,01:15:00,14,67,64,2,0,1,98.52
01/01/2014,01:30:00,14,43,42,1,0,0,97.3
01/01/2014,01:45:00,14,44,40,2,2,0,100.63
01/01/2014,02:00:00,14,45,45,0,0,0,99.77
01/01/2014,02:15:00,14,36,33,1,1,1,99.77
01/01/2014,02:30:00,14,29,26,0,2,1,99.77
01/01/2014,02:45:00,14,29,25,1,1,2,99.77
01/01/2014,03:00:00,14,18,15,2,1,0,99.77
01/01/2014,03:15:00,14,16,13,1,2,0,99.77
01/01/2014,03:30:00,14,17,16,1,0,0,99.77
01/01/2014,03:45:00,14,19,16,0,1,2,99.77
01/01/2014,04:00:00,14,17,15,1,0,1,103.19
01/01/2014,04:15:00,14,16,13,2,0,1,99.77
01/01/2014,04:30:00,14,21,18,0,2,1,93.95
01/01/2014,04:45:00,14,22,20,1,0,1,114.91
01/01/2014,05:00:00,14,22,19,1,0,2,99.77
01/01/2014,05:15:00,14,34,28,4,1,1,113.14
01/01/2014,05:30:00,14,29,26,2,0,1,103.83
01/01/2014,05:45:00,14,33,29,0,1,3,103.24
01/01/2014,06:00:00,14,26,24,0,1,1,100.72
01/01/2014,06:15:00,14,45,41,0,2,2,108.74
01/01/2014,06:30:00,14,39,36,2,0,1,99.77
01/01/2014,06:45:00,14,51,49,0,1,1,110.68
01/01/2014,07:00:00,14,51,47,2,1,1,99.77
01/01/2014,07:15:00,14,62,59,2,0,1,91.75
01/01/2014,07:30:00,14,52,47,4,0,1,104.11
01/01/2014,07:45:00,14,64,56,6,1,1,105.8
01/01/2014,08:00:00,14,72,67,0,2,3,110.79
01/01/2014,08:15:00,14,72,66,3,2,1,108.19
01/01/2014,08:30:00,14,85,79,4,1,1,109.34
01/01/2014,08:45:00,14,80,76,0,0,4,102.79
01/01/2014,09:00:00,14,106,97,2,3,4,104.9
01/01/2014,09:15:00,14,120,115,4,1,0,102.39
