Local Date, Local Time, Day Type ID, Total Carriageway Flow, Total Flow vehicles less than 5.2m, Total Flow vehicles 5.21m - 6.6m, Total Flow vehicles 6.61m - 11.6m, Total Flow vehicles above 11.6m, Speed Value
01/01/2014,09:15:00,14,379,352,13,3,11,104.77
01/01/2014,09:00:00,14,290,268,10,4,8,107.88
01/01/2014,08:45:00,14,161,145,6,3,7,85.24
01/01/2014,08:30:00,14,251,227,13,1,10,86.54
01/01/2014,08:15:00,14,217,195,8,1,13,117.04
01/01/2014,08:00:00,14,212,195,8,2,7,116.32
01/01/2014,07:45:00,14,201,185,4,5,7,118.32
01/01/2014,07:30:00,14,222,196,10,7,9,119.13
01/01/2014,07:15:00,14,225,207,10,1,7,122.01
01/01/2014,07:00:00,14,180,164,9,2,5,117.6
01/01/2014,06:45:00,14,180,156,11,4,9,118.7
01/01/2014,06:30:00,14,151,135,10,1,5,117.93
01/01/2014,06:15:00,14,160,149,5,1,5,116.97
01/01/2014,06:00:00,14,134,121,3,2,8,113.16
01/01/2014,05:45:00,14,121,114,5,1,1,114.92
01/01/2014,05:30:00,14,115,106,3,1,5,115.91
01/01/2014,05:15:00,14,109,102,0,2,5,117.96
01/01/2014,05:00:00,14,98,91,5,1,1,126.12
01/01/2014,04:45:00,14,82,72,2,1,7,127.78
01/01/2014,04:30:00,14,54,48,1,1,4,107.19
01/01/2014,04:15:00,14,69,64,3,2,0,109.26
01/01/2014,04:00:00,14,57,50,2,1,4,111.13
01/01/2014,03:45:00,14,58,52,1,4,1,113.19
01/01/2014,03:30:00,14,59,45,3,2,9,113.3
01/01/2014,03:15:00,14,57,49,3,1,4,109.76
01/01/2014,03:00:00,14,66,61,1,0,4,108.11
01/01/2014,02:45:00,14,81,76,2,1,2,122.55
01/01/2014,02:30:00,14,120,114,3,0,3,122.54
01/01/2014,02:15:00,14,112,100,2,2,8,107.47
01/01/2014,02:00:00,14,131,127,1,2,1,107.43
01/01/2014,01:45:00,14,155,141,5,3,6,108.49
01/01/2014,01:30:00,14,178,168,2,6,2,109.46
01/01/2014,01:15:00,14,148,139,5,1,3,111.58
01/01/2014,01:00:00,14,137,133,3,0,1,114.23
01/01/2014,00:45:00,14,106,101,2,2,1,107.83
01/01/2014,00:30:00,14,80,75,1,1,3,125.89
01/01/2014,00:15:00,14,48,42,2,1,3,125.85
01/01/2014,00:00:00,14,36,31,1,3,1,125.97
01/01/2014,09:30:00,14,392,366,9,4,13,110.77
01/01/2014,19:00:00,14,621,570,15,9,27,107.35
01/01/2014,19:15:00,14,619,569,8,7,35,111.55
01/01/2014,19:30:00,14,591,554,10,8,19,112.19
01/01/2014,19:45:00,14,513,487,11,5,10,110.47
01/01/2014,20:00:00,14,500,479,5,4,12,111.22
01/01/2014,20:15:00,14,493,440,13,9,31,114.33
01/01/2014,20:30:00,14,444,391,8,8,37,110.08
01/01/2014,20:45:00,14,378,350,4,7,17,107.86
01/01/2014,21:00:00,14,437,404,8,9,16,115.98
01/01/2014,21:15:00,14,346,322,1,3,20,103.66
01/01/2014,21:30:00,14,325,304,7,3,11,104.13
01/01/2014,21:45:00,14,272,252,6,3,11,119.82
01/01/2014,22:00:00,14,258,238,5,0,15,118.87
01/01/2014,22:15:00,14,179,156,6,7,10,119.01
01/01/2014,22:30:00,14,216,193,4,6,13,114.81
01/01/2014,22:45:00,14,240,200,12,5,23,120.44
