Local Date, Local Time, Day Type ID, Total Carriageway Flow, Total Flow vehicles less than 5.2m, Total Flow vehicles 5.21m - 6.6m, Total Flow vehicles 6.61m - 11.6m, Total Flow vehicles above 11.6m, Speed Value, Average Speed in MPH, Cat 1 Speed Count, Cat 2 Speed Count, Cat 3 Speed Count, Cat 4 Speed Count, Cat 5 Speed Count, Cat 6 Speed Count, Cat 7 Speed Count, Cat 8 Speed Count, Cat 9 Speed Count, Cat 10 Speed Count, Cat 11 Speed Count, Cat 12 Speed Count, Cat 13 Speed Count, Cat 14 Speed Count, Cat speed counts included flag, Quality Index, Network Link Id, NTIS Model Version
2022-01-01,00:14:00,14,10,7,2,0,1,102.23,63.53,0,0,0,0,0,0,0,0,1,0,1,6,2,0,True,15,200109898,15
2022-01-01,00:29:00,14,24,17,3,1,3,106.98,66.48,0,0,0,0,0,0,0,0,0,2,2,12,6,2,True,15,200109898,15
2022-01-01,00:44:00,14,20,16,2,0,2,110.76,68.83,0,0,0,0,0,0,0,0,1,0,2,7,6,4,True,15,200109898,15
2022-01-01,00:59:00,14,16,14,0,0,2,109.17,67.84,0,0,0,0,0,0,0,0,0,1,2,5,7,1,True,15,200109898,15
2022-01-01,01:14:00,14,21,19,2,0,0,108.44,67.39,0,0,0,0,0,0,0,0,1,1,3,6,6,4,True,15,200109898,15
2022-01-01,01:29:00,14,22,20,1,1,0,105.28,65.42,0,0,0,0,0,0,0,0,0,0,3,15,4,0,True,15,200109898,15
2022-01-01,01:44:00,14,17,12,2,1,2,108.69,67.54,0,0,0,0,0,0,0,0,1,1,2,4,6,3,True,15,200109898,15
2022-01-01,01:59:00,14,22,20,1,0,1,106.44,66.14,0,0,0,0,0,0,0,0,0,0,4,12,5,1,True,15,200109898,15
2022-01-01,02:14:00,14,12,11,1,0,0,111.48,69.27,0,0,0,0,0,0,0,0,0,0,1,6,3,2,True,15,200109898,15
2022-01-01,02:29:00,14,13,9,3,0,1,110.21,68.48,0,0,0,0,0,0,0,0,0,2,0,4,5,2,True,15,200109898,15
2022-01-01,02:44:00,14,11,9,2,0,0,106.95,66.46,0,0,0,0,0,0,0,0,0,0,2,6,2,1,True,15,200109898,15
2022-01-01,02:59:00,14,9,7,1,0,1,99.41,61.77,0,0,0,0,0,0,0,0,1,1,1,4,2,0,True,15,200109898,15
2022-01-01,03:14:00,14,8,6,0,0,2,109.29,67.91,0,0,0,0,0,0,0,0,0,0,2,3,1,2,True,15,200109898,15
2022-01-01,03:29:00,14,12,9,0,0,3,101.75,63.22,0,0,0,0,0,0,0,0,0,2,2,5,3,0,True,15,200109898,15
2022-01-01,03:44:00,14,8,6,1,1,0,106.38,66.10,0,0,0,0,0,0,0,0,0,1,1,3,2,1,True,15,200109898,15
2022-01-01,03:59:00,14,18,13,1,0,4,109.15,67.82,0,0,0,0,0,0,0,0,0,1,5,2,7,3,True,15,200109898,15
2022-01-01,04:14:00,14,12,10,1,0,1,100.23,62.28,0,0,0,0,0,0,0,1,0,1,3,3,3,1,True,15,200109898,15
2022-01-01,04:29:00,14,10,7,1,0,2,103.52,64.33,0,0,0,0,0,0,0,0,0,2,1,4,2,1,True,15,200109898,15
2022-01-01,04:44:00,14,11,9,0,1,1,106.67,66.28,0,0,0,0,0,0,0,0,0,0,3,5,1,2,True,15,200109898,15
2022-01-01,04:59:00,14,9,7,0,0,2,105.27,65.42,0,0,0,0,0,0,0,0,0,2,0,3,4,0,True,15,200109898,15
2022-01-01,05:14:00,14,14,6,1,0,7,95.16,59.13,0,0,0,0,0,0,0,0,1,2,7,2,1,1,True,15,200109898,15
2022-01-01,05:29:00,14,12,8,0,2,2,101.72,63.21,0,0,0,0,0,0,0,0,0,3,2,3,3,1,True,15,200109898,15
2022-01-01,05:44:00,14,15,12,1,0,2,106.16,65.96,0,0,0,0,0,0,0,0,0,4,1,1,8,1,True,15,200109898,15
2022-01-01,05:59:00,14,14,7,5,0,2,106.68,66.29,0,0,0,0,0,0,0,0,0,1,3,4,5,1,True,15,200109898,15
2022-01-01,06:14:00,14,26,19,0,0,7,103.38,64.24,0,0,0,0,0,0,0,0,0,5,4,8,7,2,True,15,200109898,15
2022-01-01,06:29:00,14,26,20,0,1,5,105.26,65.41,0,0,0,0,0,0,0,0,0,4,3,10,6,3,True,15,200109898,15
2022-01-01,06:44:00,14,37,26,3,0,8,106.18,65.98,0,0,0,0,0,0,0,0,0,3,8,11,12,3,True,15,200109898,15
2022-01-01,06:59:00,14,32,25,2,1,4,107.19,66.61,0,0,0,0,0,0,0,0,1,2,3,14,8,4,True,15,200109898,15
